image,elbow_angle,back_angle,hip_angle,knee_angle,stage,label
3751_png.rf.778000a0fd376815172c785e89cbd21c.jpg,171.22933137994409,162.45183869152498,173.5080991227156,173.9626723928143,top,correct
4010_png.rf.c830394d40f8a65cea07d6627bd21deb.jpg,173.65004726690043,145.6413935793486,174.62802593723546,160.41947053637443,top,correct
2109_png.rf.c9d24d15afa8c0d5ced0b5d074e62979.jpg,177.0970650619453,145.36698631477088,173.33695925957494,172.51017996418275,top,correct
23784_png.rf.08cae1f92f52ebd29b2eeecd9b2fa231.jpg,160.67574626637278,156.79374893660963,173.4673685058221,156.52429603431492,top,correct
929ecf92-a01b-4bb3-85b3-565891885bce_mp4-0013_jpg.rf.65e6ba00d1dbe9dd35fc5313ae3b6162.jpg,110.3572963996538,164.4473182797362,174.9389518716009,161.63237840859338,bottom,correct
25865_png.rf.064223b2d6592c590c0bc860209c0bc6.jpg,101.336844171859,163.41493013185382,170.6143403670587,152.90597078203996,bottom,correct
339_png.rf.9e8a170dc933c58ecfdc51f7e340012f.jpg,159.48535762691006,171.87227017166538,172.65690415735136,151.430899233213,top,correct
25031_png.rf.210fe08559b8de8d63f37022e7fe410d.jpg,82.25415285224155,169.5837389690924,170.68023485331344,169.5199932468244,bottom,correct
5976_png.rf.2515849a15de3ab0252f38a7e2480ce4.jpg,168.11715777716665,172.76224129172513,150.7592233442631,166.34313109325683,top,correct
04b354fe-de93-4950-addf-f12c3436da63_mp4-0000_jpg.rf.aba3c33a3dd889cc5cc8360362b1e210.jpg,172.09759054048027,160.54117509695158,174.86271867528808,161.95098527521623,top,correct
2585_png.rf.86ec36dc1b2e69f0f80196b8ce3fd3ec.jpg,95.97473142605924,179.560280535921,139.15132170541662,166.0974040974981,bottom,correct
862_jpg.rf.d98027bd8ffa98b7064616c8967e696e.jpg,167.81467649802516,176.29694787497294,151.95067708089982,144.98062901827728,top,correct
4004_png.rf.e62cf3ff01b7690775bd563175a3bed5.jpg,174.18068856626343,142.10311119720242,177.53499074621016,166.2155618030644,top,correct
4252_png.rf.08841468532f97bfb3ff647516f0a1f0.jpg,176.38987823107064,142.31727769882207,176.12915287218632,166.6227993183314,top,correct
6843_png.rf.3f713bc88adc56c732fb9ea4f25bb66f.jpg,152.31375724406337,154.61499633459948,179.07525502083908,174.787912872635,top,correct
25525_png.rf.f264ea8dee0fee39400929c47e6fce81.jpg,155.2148279299396,172.3948392319584,141.47451554592394,147.4645655995603,top,correct
afbc948a-bd40-498c-a6a4-ea9548a2aca2_mp4-0000_jpg.rf.7c5525272c30b7e4ce511f6720870b64.jpg,163.55742912840432,143.3749557419069,144.84297787089668,140.2466734002277,top,correct
44bb833e-d80e-4f7b-b804-ad297a0d5dc7_mp4-0003_jpg.rf.c3e9f4f5b5f2454d7dae6bf87a4c8456.jpg,160.2761153575049,178.37296325558444,163.26088652456292,164.0710511872217,top,correct
25937_png.rf.1a13f940afa170ae8aa0b6898525bb44.jpg,179.89691053796437,163.8308817256027,146.14582639260274,127.10076928668953,top,correct
4202_png.rf.e08ba1e60c1b2898de5bb6854224fca3.jpg,176.00058259284043,143.02504992944094,171.67518514475466,163.8989980438683,top,correct
23415_png.rf.0cb301857510c8df2f7a61b738b3f00e.jpg,175.541863577889,155.7735813897095,156.00382907830777,116.06380614536926,top,correct
212_png.rf.6e42459918f1a39bef662ac51b0afe46.jpg,92.07080578789164,168.62121371376608,165.26205209906828,160.76225425532462,bottom,correct
25777_png.rf.8df1000966397520da1f5adf510cbf3b.jpg,174.12208030767357,151.50947500415992,147.9749565656866,115.36075744219876,top,correct
1926_png.rf.9260d44f1f9ac94c76920a276565ea12.jpg,178.59192455923028,166.64342275296966,168.94822156269103,171.9593034722006,top,correct
364_png.rf.ea850a55202da859d297bd4982e38267.jpg,173.59544201501132,178.98655893848215,172.60814768326085,159.30201194244634,top,correct
04b354fe-de93-4950-addf-f12c3436da63_mp4-0006_jpg.rf.c03754b9353dcd1971a5834f474f64f5.jpg,119.74356026271678,177.44061642890475,171.7947036639397,174.6360622496431,bottom,correct
2552_png.rf.0d93daf23ddea2d30d3169fa28b42ec7.jpg,98.69559771684976,175.45335540899558,143.31499079649635,176.42007547800992,bottom,correct
push-up_5_mp4-0002_jpg.rf.46322180eefb926ad63a0b9fa7df93ba.jpg,80.64941919833637,172.0826040550466,158.81884309201325,171.97949059052928,bottom,correct
25902_png.rf.194b4aebaf2b35c4bfec336e2ee8cf87.jpg,173.51728384428512,146.18491386554396,162.69402337600226,141.73683184510006,top,correct
23411_png.rf.56a997e933f11a9783ac878cd18e1c1e.jpg,176.45533231184848,144.51495648720086,168.4254286778157,112.56434041123256,top,correct
youtube-761_jpg.rf.feacf033be789c26fc20a9914f4e715f.jpg,176.65857142740046,178.1288846225581,163.68271533438406,176.05862738014758,top,correct
push-up_3_mp4-0015_jpg.rf.0daacb74d9957ce3786b2bf045c1f85e.jpg,169.68442194760357,171.08365316013544,175.2742785567169,168.06657043386116,top,correct
4277_png.rf.6da135f2ef0f0b17f84605566fcf8aba.jpg,176.1392131726341,147.5020720600776,172.24252470868842,164.6323342123055,top,correct
980_jpg.rf.fc35533aa8d983bc744f3b0de59940c0.jpg,178.2759337806924,167.93225013960992,162.39065791794084,169.1837377014864,top,correct
